normalized_player,normalized_full_name,full_name,height_cm,weight_kg,preferred_foot,weak_foot,dob,club_contract_valid_until,birth_year_x,#OPA,#OPA/90,+/-,+/-90,/90,1/3,1/3_stats_possession,2CrdY,90s,90s_stats_defense,90s_stats_gca,90s_stats_keeper,90s_stats_keeper_adv,90s_stats_misc,90s_stats_passing,90s_stats_passing_types,90s_stats_playing_time,90s_stats_possession,90s_stats_shooting,A-xAG,Age,Age_stats_defense,Age_stats_gca,Age_stats_keeper,Age_stats_keeper_adv,Age_stats_misc,Age_stats_passing,Age_stats_passing_types,Age_stats_playing_time,Age_stats_possession,Age_stats_shooting,Ast,Ast_stats_passing,Att,Att (GK),Att 3rd,Att 3rd_stats_possession,Att Pen,Att_stats_defense,Att_stats_keeper_adv,Att_stats_passing_types,Att_stats_possession,AvgDist,AvgLen,Blocks,Blocks_stats_defense,Born,Born_stats_defense,Born_stats_gca,Born_stats_keeper,Born_stats_keeper_adv,Born_stats_misc,Born_stats_passing,Born_stats_passing_types,Born_stats_playing_time,Born_stats_possession,Born_stats_shooting,CK,CK_stats_keeper_adv,CPA,CS,CS%,Carries,Clr,Cmp,Cmp%,Cmp%_stats_keeper_adv,Cmp_stats_keeper_adv,Cmp_stats_passing_types,Comp,Comp_stats_defense,Comp_stats_gca,Comp_stats_keeper,Comp_stats_keeper_adv,Comp_stats_misc,Comp_stats_passing,Comp_stats_passing_types,Comp_stats_playing_time,Comp_stats_possession,Comp_stats_shooting,Compl,CrdR,CrdR_stats_misc,CrdY,CrdY_stats_misc,Crs,CrsPA,Crs_stats_misc,D,Dead,Def,Def 3rd,Def 3rd_stats_possession,Def Pen,Dis,Dist,Err,FK,FK_stats_keeper_adv,FK_stats_passing_types,Fld,Fld_stats_misc,Fls,G+A,G+A-PK,G-PK,G-xG,G/Sh,G/SoT,GA,GA90,GA_stats_keeper_adv,GCA,GCA90,Gls,Gls_stats_shooting,In,Int,Int_stats_misc,KP,L,Launch%,Live,Live_stats_possession,Lost,Lost_stats_misc,MP,MP_stats_keeper,MP_stats_playing_time,Mid 3rd,Mid 3rd_stats_possession,Min,Min%,Min_stats_keeper,Min_stats_playing_time,Mis,Mn/MP,Mn/Start,Mn/Sub,Nation,Nation_stats_defense,Nation_stats_gca,Nation_stats_keeper,Nation_stats_keeper_adv,Nation_stats_misc,Nation_stats_passing,Nation_stats_passing_types,Nation_stats_playing_time,Nation_stats_possession,Nation_stats_shooting,OG,OG_stats_keeper_adv,Off,Off_stats_misc,On-Off,Opp,Out,PK,PKA,PKA_stats_keeper_adv,PK_stats_shooting,PKatt,PKatt_stats_keeper,PKatt_stats_shooting,PKcon,PKm,PKsv,PKwon,PPA,PPM,PSxG,PSxG+/-,PSxG/SoT,Pass,PassDead,PassLive,Player,Pos,Pos_stats_defense,Pos_stats_gca,Pos_stats_keeper,Pos_stats_keeper_adv,Pos_stats_misc,Pos_stats_passing,Pos_stats_passing_types,Pos_stats_playing_time,Pos_stats_possession,Pos_stats_shooting,PrgC,PrgC_stats_possession,PrgDist,PrgDist_stats_possession,PrgP,PrgP_stats_passing,PrgR,PrgR_stats_possession,Rec,Recov,Rk,Rk_stats_defense,Rk_stats_gca,Rk_stats_keeper,Rk_stats_keeper_adv,Rk_stats_misc,Rk_stats_passing,Rk_stats_passing_types,Rk_stats_playing_time,Rk_stats_possession,Rk_stats_shooting,SCA,SCA90,Save%,Saves,Sh,Sh/90,Sh_stats_defense,Sh_stats_gca,SoT,SoT%,SoT/90,SoTA,Squad,Starts,Starts_stats_keeper,Starts_stats_playing_time,Stp,Stp%,Str,Subs,Succ,Succ%,Sw,TB,TI,TO,Thr,Tkl,Tkl%,Tkl+Int,TklW,TklW_stats_misc,Tkld,Tkld%,TotDist,TotDist_stats_possession,Touches,W,Won,Won%,id,last_evaluation,market_value,np:G-xG,npxG,npxG+xAG,npxG/Sh,npxG_stats_shooting,onG,onGA,onxG,onxGA,success,unSub,value_updated,xA,xAG,xAG_stats_passing,xG,xG+/-,xG+/-90,xG+xAG,xG_stats_shooting,birth_year_y
ladislav krejci, ladislav krejci, Ladislav Krejčí,191,87,Left,3 ,1999-04-20,2029,1999,,,-17,-0.63,,150,18,0,27.1,27.1,27.1,,,27.1,27.1,27.1,27.1,27.1,27.1,-0.3,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,0,0,2135,,0,106,28,26,,2135,12,,,7,24,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0,,1,,,1523,93,1924,90.1,,,1924,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,27,0,0,9,9,11,2,11,,92,0,19,1089,259,8,14.8,5,0,,57,1,17,24,2,0.07,2,0.3,0.11,0.4,,,,4,0.15,2,2,0,34,34,8,,,2041,2351,12,24,28,,28,4,1175,2440,71.3,,2440,15,87,90.0,10.0,cz CZE,cz CZE,cz CZE,,,cz CZE,cz CZE,cz CZE,cz CZE,cz CZE,cz CZE,1,,2,0,-0.72,,0,0,,,0,0,,0,0,,,1,12,0.89,,,,5,1,25,Ladislav Krejčí,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,29,29,12417,5129,144,144,6,6,1805,101,1415,1415,1415,,,1415,1415,1415,1749,1415,1415,29,1.07,,,18,0.66,19,2,5,27.8,0.18,,Girona,27,,27,,,0,1,7,58.3,8,3,12,0,,23,53.8,57,16,16,4,33.3,35129,8408,2351,,55,69.6,,,,0.3,1.7,2.0,0.09,1.7,28,45,27.6,39.2,False,6,,0.8,0.3,0.3,1.7,-11.5,-0.43,0.07,1.7,1999
joao pedro, joao pedro junqueira de jesus, João Pedro Junqueira de Jesus,188,82,Right,4 ,2001-09-26,2028,2001,,,6,0.28,,42,39,0,21.6,21.6,21.6,,,21.6,21.6,21.6,21.6,21.6,21.6,1.0,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22.0,22.0,6,6,661,,4,508,122,11,,661,86,,,20,12,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,4,,30,,,616,12,482,72.9,,,482,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,12,1,1,4,4,22,5,22,,26,1,6,60,12,38,17.2,0,0,,5,10,46,26,16,0.51,5,1.1,0.12,0.33,,,,9,0.42,10,10,0,9,9,30,,,631,935,7,43,27,,27,6,387,1948,57.0,,1948,72,72,81.0,23.0,br BRA,br BRA,br BRA,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,0,,4,2,0.22,,0,5,,,5,5,,5,1,,,3,36,1.48,,,,12,0,56,João Pedro,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",66,66,1766,1821,78,78,128,128,732,59,1262,1262,1262,,,1262,1262,1262,1566,1262,1262,72,3.32,,,42,1.94,0,2,15,35.7,0.69,,Brighton,23,,23,,,0,4,29,33.7,3,10,9,3,,16,36.4,25,12,12,47,54.7,6847,3821,940,,41,48.8,626724.0,2025-05-30,50000000.0,0.0,5.0,10.0,0.12,5.0,33,27,36.3,25.7,True,0,True,3.1,5.0,5.0,8.9,10.6,0.49,0.64,8.9,2001
andrea colpani, andrea colpani, Andrea Colpani,184,75,Left,3 ,1999-05-11,"Jun 30, 2025",1999,,,6,0.37,,19,35,0,16.1,16.1,16.1,,,16.1,16.1,16.1,16.1,16.1,16.1,-0.3,25.0,25.0,25.0,,,25.0,25.0,25.0,25.0,25.0,25.0,1,1,466,,3,299,49,12,,466,27,,,7,7,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,22,,13,,,395,10,376,80.7,,,376,it Serie A,it Serie A,it Serie A,,,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,it Serie A,2,0,0,1,1,33,1,33,,34,0,5,62,9,22,18.5,0,2,,7,1,24,22,3,0.19,2,-0.7,0.06,0.17,,,,5,0.31,2,2,12,9,9,17,,,429,609,8,15,25,,25,7,251,1450,42.4,,1450,26,58,71.0,25.0,it ITA,it ITA,it ITA,,,it ITA,it ITA,it ITA,it ITA,it ITA,it ITA,0,,3,1,-0.22,,1,0,,,0,0,,0,0,,,0,15,1.56,,,,7,4,34,Andrea Colpani,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",37,37,1206,1094,57,57,129,129,449,46,583,583,583,,,583,583,583,716,583,583,43,2.7,,,36,2.23,0,4,12,33.3,0.74,,Fiorentina,18,,18,,,0,7,12,44.4,6,2,5,0,,15,33.3,24,9,9,13,48.1,5907,2413,609,,10,40.0,392959.0,2025-03-25,12000000.0,-0.7,2.7,3.9,0.07,2.7,26,20,22.4,15.2,True,2,True,1.3,1.3,1.3,2.7,7.2,0.45,0.24,2.7,1999
rayan cherki, mathis rayan cherki, Mathis Rayan Cherki,177,71,Left,5 ,2003-08-17,2026,2003,,,20,0.88,,97,91,0,22.7,22.7,22.7,,,22.7,22.7,22.7,22.7,22.7,22.7,-0.1,20.0,20.0,20.0,,,20.0,20.0,20.0,20.0,20.0,20.0,11,11,1375,,4,826,132,28,,1375,97,,,32,6,2003.0,2003.0,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,98,,41,,,1021,6,1079,78.5,,,1079,fr Ligue 1,fr Ligue 1,fr Ligue 1,,,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,8,0,0,3,3,118,3,118,,163,0,3,120,6,43,16.8,0,3,,31,4,34,16,19,0.84,8,3.0,0.18,0.42,,,,20,0.88,8,8,26,7,7,75,,,1200,1573,22,8,30,,30,8,653,2041,66.7,,2041,48,68,81.0,32.0,fr FRA,fr FRA,fr FRA,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,0,,12,3,0.97,,55,0,,,0,0,,0,0,,,0,77,1.77,,,,6,21,101,Rayan Cherki,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",106,106,5140,3610,206,206,184,184,1234,83,542,542,542,,,542,542,542,665,542,542,146,6.44,,,45,1.98,0,9,19,42.2,0.84,,Lyon,22,,22,,,0,8,48,49.5,15,22,29,11,,15,21.4,22,12,12,43,44.3,17006,6454,1573,,4,33.3,607223.0,2025-06-03,45000000.0,3.0,5.0,16.1,0.11,5.0,48,28,41.2,28.5,True,0,True,11.7,11.1,11.1,5.0,12.7,0.56,0.71,5.0,2003
samuel lino, samuel dias lino, Samuel Dias Lino,170,69,Right,3 ,1999-12-23,2027,1999,,,20,1.16,,41,49,0,17.2,17.2,17.2,,,17.2,17.2,17.2,17.2,17.2,17.2,1.1,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,4,4,821,,4,429,75,52,,821,56,,,31,23,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,2,,25,,,678,13,652,79.4,,,652,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,1,0,0,3,3,41,6,41,,28,0,25,203,21,18,16.3,0,0,,3,3,30,15,7,0.41,3,-3.0,0.07,0.17,,,,6,0.35,3,3,0,8,8,22,,,792,1038,30,12,31,,31,4,420,1552,45.4,,1552,31,50,58.0,33.0,br BRA,br BRA,br BRA,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,0,,1,3,0.29,,0,0,,,0,0,,0,0,,,1,24,1.94,,,,19,0,39,Samuel Lino,"MF,DF","MF,DF","MF,DF",,,"MF,DF","MF,DF","MF,DF","MF,DF","MF,DF","MF,DF",72,72,2363,2274,73,73,179,179,772,85,1497,1497,1497,,,1497,1497,1497,1850,1497,1497,49,2.84,,,45,2.61,4,4,18,40.0,1.04,,Atlético Madrid,21,,21,,,0,10,27,48.2,3,1,23,3,,33,42.3,41,17,17,26,46.4,9905,4000,1038,,13,52.0,694928.0,2024-12-27,25000000.0,-3.0,6.0,8.9,0.13,6.0,30,10,32.4,13.3,True,5,True,2.2,2.9,2.9,6.0,19.0,1.1,0.52,6.0,1999
brennan johnson, brennan price johnson, Brennan Price Johnson,186,73,Right,4 ,2001-05-23,2028,2001,,,2,0.08,,25,23,0,24.2,24.2,24.2,,,24.2,24.2,24.2,24.2,24.2,24.2,0.7,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,3,3,638,,10,475,125,34,,638,44,,,41,25,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,0,,35,,,544,14,449,70.4,,,449,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,14,0,0,5,5,53,6,53,,12,1,9,98,18,17,11.4,0,0,,0,5,26,27,14,0.58,11,0.6,0.2,0.55,,,,7,0.29,11,11,0,4,4,19,,,624,853,18,20,33,,33,20,292,2177,63.7,,2177,26,66,79.0,31.0,wls WAL,wls WAL,wls WAL,,,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,wls WAL,0,,2,12,0.3,,0,0,,,0,0,,0,0,,,2,35,1.03,,,,22,0,30,Brennan Johnson,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,60,60,1611,1460,71,71,197,197,626,63,1270,1270,1270,,,1270,1270,1270,1574,1270,1270,46,1.9,,,54,2.23,3,4,20,37.0,0.83,,Tottenham,24,,24,,,0,9,19,43.2,1,0,12,6,,39,47.1,43,26,26,22,50.0,5932,2939,853,,7,25.9,470607.0,2025-05-30,40000000.0,0.6,10.4,12.7,0.19,10.4,40,38,39.5,38.8,True,2,True,2.0,2.3,2.3,10.4,0.7,0.03,0.52,10.4,2001
wesley fofana, wesley fofana, Wesley Fofana,185,84,Right,3 ,2000-12-17,2029,2000,,,12,0.92,,54,12,0,13.0,13.0,13.0,,,13.0,13.0,13.0,13.0,13.0,13.0,-0.4,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,0,0,803,,0,55,10,14,,803,15,,,4,14,2000.0,2000.0,2000.0,,,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0,,1,,,557,55,724,90.2,,,724,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,10,0,0,7,7,1,0,1,,44,0,6,370,81,5,10.6,2,0,,23,0,16,24,0,0.0,0,-0.4,0.0,,,,,0,0.0,0,0,0,14,14,6,,,758,933,8,12,14,,14,7,523,1172,34.3,,1172,16,84,84.0,,fr FRA,fr FRA,fr FRA,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,0,,1,0,0.56,,0,0,,,0,0,,0,0,,,0,1,2.0,,,,5,1,12,Wesley Fofana,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,19,19,3415,1614,32,32,4,4,665,54,914,914,914,,,914,914,914,1131,914,914,15,1.15,,,3,0.23,9,1,0,0.0,0.0,,Chelsea,14,,14,,,0,0,8,53.3,0,0,20,1,,13,42.9,27,12,12,3,20.0,12262,3149,933,,27,69.2,475411.0,2025-05-30,25000000.0,-0.4,0.4,0.8,0.13,0.4,25,13,23.2,15.6,True,1,True,0.2,0.4,0.4,0.4,7.7,0.59,0.07,0.4,2000
ian maatsen, ian ethan maatsen, Ian Ethan Maatsen,178,68,Left,3 ,2002-03-10,2029,2002,,,8,0.63,,22,17,0,12.7,12.7,12.7,,,12.7,12.7,12.7,12.7,12.7,12.7,-0.7,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22.0,22.0,2,2,747,,3,348,47,24,,747,29,,,25,13,2002.0,2002.0,2002.0,,,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,5,,13,,,505,39,609,81.5,,,609,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,6,0,0,2,2,51,3,51,,101,1,17,247,56,25,22.1,3,0,,16,0,9,11,3,0.24,1,0.1,0.05,0.2,,,,7,0.55,1,1,2,15,15,19,,,646,917,7,6,29,,29,9,334,1139,33.3,,1139,22,39,78.0,19.0,nl NED,nl NED,nl NED,,,nl NED,nl NED,nl NED,nl NED,nl NED,nl NED,0,,0,3,0.67,,0,0,,,0,0,,0,1,,,0,19,1.76,,,,13,3,38,Ian Maatsen,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,31,31,2492,1184,50,50,104,104,564,67,1553,1553,1553,,,1553,1553,1553,1920,1553,1553,52,4.11,,,19,1.5,0,5,5,26.3,0.4,,Aston Villa,10,,10,,,0,19,13,44.8,2,1,80,5,,29,70.8,44,17,17,16,55.2,9635,2636,917,,10,62.5,485585.0,2025-05-30,28000000.0,0.1,0.9,3.6,0.05,0.9,24,16,24.0,17.2,True,8,True,2.4,2.7,2.7,0.9,6.8,0.53,0.28,0.9,2002
jarrad branthwaite, jarrad paul branthwaite, Jarrad Paul Branthwaite,195,74,Left,5 ,2002-06-27,2025,2002,,,6,0.22,,86,14,0,27.9,27.9,27.9,,,27.9,27.9,27.9,27.9,27.9,27.9,0.3,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22.0,22.0,1,1,1198,,0,69,28,28,,1198,6,,,7,31,2002.0,2002.0,2002.0,,,2002.0,2002.0,2002.0,2002.0,2002.0,2002.0,0,,2,,,747,191,984,82.1,,,984,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,27,0,0,4,4,5,0,5,,51,0,26,783,211,4,8.2,4,0,,38,1,18,12,1,0.04,0,-1.2,0.0,0.0,,,,2,0.07,0,0,0,27,27,3,,,1141,1520,8,42,30,,30,10,676,2511,73.4,,2511,8,84,89.0,4.0,eng ENG,eng ENG,eng ENG,,,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,eng ENG,0,,6,1,1.01,,0,0,,,0,0,,0,0,,,0,3,1.33,,,,8,1,11,Jarrad Branthwaite,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,10,10,7699,2515,66,66,2,2,894,93,382,382,382,,,382,382,382,472,382,382,13,0.47,,,10,0.36,23,0,3,30.0,0.11,,Everton,28,,28,,,0,2,3,50.0,17,1,3,0,,36,71.4,63,20,20,2,33.3,19285,4143,1520,,61,59.2,661053.0,2025-05-30,50000000.0,-1.2,1.2,1.9,0.12,1.2,34,28,31.1,30.0,True,0,True,0.6,0.7,0.7,1.2,1.1,0.04,0.07,1.2,2002
jader duran, jhon jader duran palacio, Jhon Jáder Durán Palacio,187,70,Left,2 ,2003-12-13,2030,2003,,,0,0.0,,10,7,0,7.1,7.1,7.1,,,7.1,7.1,7.1,7.1,7.1,7.1,-0.2,20.0,20.0,20.0,,,20.0,20.0,20.0,20.0,20.0,20.0,0,0,163,,5,122,47,4,,163,14,,,4,5,2003.0,2003.0,2003.0,,,2003.0,2003.0,2003.0,2003.0,2003.0,2003.0,0,,2,,,133,13,115,70.6,,,115,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,0,1,1,3,3,3,0,3,,7,2,1,36,13,15,15.6,0,0,,0,3,15,14,7,0.99,7,2.1,0.23,0.47,,,,1,0.14,7,7,0,0,0,4,,,155,263,3,19,20,,20,2,110,638,18.7,,638,16,32,60.0,25.0,co COL,co COL,co COL,,,co COL,co COL,co COL,co COL,co COL,co COL,0,,1,5,-0.23,,0,0,,,0,0,,0,0,,,0,1,1.5,,,,5,0,9,Jáder Durán,FW,FW,FW,,,FW,FW,FW,FW,FW,FW,7,7,307,267,13,13,44,44,192,19,799,799,799,,,799,799,799,987,799,799,18,2.54,,,31,4.37,0,4,15,48.4,2.12,,Aston Villa,4,,4,,,0,16,3,21.4,0,2,0,0,,8,25.0,8,7,7,9,64.3,1558,535,263,,19,50.0,649317.0,2025-05-27,35000000.0,2.1,4.9,5.1,0.16,4.9,12,12,9.2,9.7,True,1,True,0.3,0.2,0.2,4.9,-0.5,-0.07,0.71,4.9,2003
bryan gil, bryan gil salvatierra, Bryan Gil Salvatierra,175,60,Left,3 ,2001-02-11,"Jun 30, 2025",2001,,,-2,-0.1,,27,43,0,19.1,19.1,19.1,,,19.1,19.1,19.1,19.1,19.1,19.1,0.1,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,3,3,759,,9,568,82,30,,759,104,,,23,24,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,14,,34,,,715,9,621,81.8,,,621,es La Liga,es La Liga,es La Liga,,,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,es La Liga,4,0,0,4,4,78,7,78,,23,1,10,110,9,39,19.0,4,0,,1,4,40,22,6,0.31,3,0.7,0.09,0.2,,,,5,0.26,3,3,6,10,10,21,,,731,1019,16,5,25,,25,15,356,1721,50.3,,1721,56,69,78.0,22.0,es ESP,es ESP,es ESP,,,es ESP,es ESP,es ESP,es ESP,es ESP,es ESP,0,,5,4,0.64,,6,0,,,0,0,,0,0,,,0,33,1.32,,,,24,3,39,Bryan Gil,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",76,76,1808,2103,74,74,210,210,795,78,1003,1003,1003,,,1003,1003,1003,1240,1003,1003,56,2.93,,,32,1.67,0,1,15,46.9,0.78,,Girona,21,,21,,,0,4,41,39.4,0,0,8,8,,34,46.7,44,20,20,52,50.0,8853,4663,1019,,0,0.0,537382.0,2024-12-27,15000000.0,0.7,2.3,5.2,0.07,2.3,29,31,23.5,24.1,True,0,True,3.2,2.9,2.9,2.3,-0.6,-0.03,0.27,2.3,2001
jean-clair todibo, jean-clair dimitri roger todibo, Jean-Clair Dimitri Roger Todibo,190,88,Right,2 ,1999-12-30,"Jun 30, 2025",1999,,,-3,-0.15,,44,5,0,20.3,20.3,20.3,,,20.3,20.3,20.3,20.3,20.3,20.3,0.0,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,0,0,1082,,2,47,11,36,,1082,16,,,7,25,1999.0,1999.0,1999.0,,,1999.0,1999.0,1999.0,1999.0,1999.0,1999.0,0,,0,,,760,83,951,87.9,,,951,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,9,0,0,3,3,3,0,3,,33,1,30,716,165,11,12.8,3,0,,28,0,6,16,0,0.0,0,-0.4,0.0,,,,,0,0.0,0,0,0,26,26,2,,,1046,1297,10,26,27,,27,15,543,1825,53.4,,1825,14,68,80.0,31.0,fr FRA,fr FRA,fr FRA,,,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,fr FRA,0,,3,0,0.59,,0,0,,,0,0,,0,0,,,0,1,1.37,,,,12,0,4,Jean-Clair Todibo,DF,DF,DF,,,DF,DF,DF,DF,DF,DF,9,9,5965,1602,38,38,5,5,890,79,2599,2599,2599,,,2599,2599,2599,3196,2599,2599,5,0.25,,,5,0.25,13,0,0,0.0,0.0,,West Ham,20,,20,,,0,7,9,56.3,4,0,5,0,,47,72.2,73,28,28,7,43.8,16772,3221,1297,,28,51.9,605184.0,2025-05-30,25000000.0,-0.4,0.4,0.4,0.07,0.4,30,33,26.6,29.4,True,5,True,0.1,0.0,0.0,0.4,-2.8,-0.14,0.02,0.4,1999
thiago almada, thiago ezequiel almada, Thiago Ezequiel Almada,171,62,Right,4 ,2001-04-26,2025,2001,,,12,1.14,,58,34,0,10.6,10.6,10.6,,,10.6,10.6,10.6,10.6,10.6,10.6,1.4,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,4,4,748,,2,318,31,21,,748,14,,,6,2,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,35,,10,,,568,6,635,84.9,,,635,fr Ligue 1,fr Ligue 1,fr Ligue 1,,,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,fr Ligue 1,5,0,0,3,3,47,2,47,,71,0,7,136,19,9,20.5,3,1,,28,1,8,10,5,0.47,1,-1.0,0.04,0.2,,,,11,1.04,1,1,20,7,7,22,,,668,831,14,2,16,,16,5,382,951,31.1,,951,17,59,88.0,23.0,ar ARG,ar ARG,ar ARG,,,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,ar ARG,0,,9,1,0.84,,7,0,,,0,0,,0,0,,,1,20,1.75,,,,2,8,39,Thiago Almada,"MF,FW","MF,FW","MF,FW",,,"MF,FW","MF,FW","MF,FW","MF,FW","MF,FW","MF,FW",38,38,2735,1483,97,97,50,50,652,56,92,92,92,,,92,92,92,118,92,92,52,4.92,,,23,2.18,0,3,5,21.7,0.47,,Lyon,9,,9,,,0,7,8,57.1,8,5,6,1,,14,33.3,21,8,8,5,35.7,10034,2957,831,,1,33.3,576028.0,2025-06-03,25000000.0,-1.0,2.0,4.6,0.09,2.0,27,15,24.0,12.0,True,1,True,2.4,2.6,2.6,2.0,11.9,1.13,0.44,2.0,2001
thiago, thiago ezequiel almada, Thiago Ezequiel Almada,171,62,Right,4 ,2001-04-26,2025,2001,,,-1,-0.51,,2,3,0,1.9,1.9,1.9,,,1.9,1.9,1.9,1.9,1.9,1.9,-0.1,23.0,23.0,23.0,,,23.0,23.0,23.0,23.0,23.0,23.0,0,0,56,,2,36,4,1,,56,5,,,0,3,2001.0,2001.0,2001.0,,,2001.0,2001.0,2001.0,2001.0,2001.0,2001.0,0,,1,,,45,3,40,71.4,,,40,eng Premier League,eng Premier League,eng Premier League,,,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,eng Premier League,0,0,0,0,0,2,0,2,,1,1,2,15,7,2,14.8,1,0,,0,0,3,3,0,0.0,0,-0.1,0.0,,,,,0,0.0,0,0,0,2,2,2,,,55,83,1,5,8,,8,1,34,175,5.1,,175,6,22,72.0,15.0,br BRA,br BRA,br BRA,,,br BRA,br BRA,br BRA,br BRA,br BRA,br BRA,0,,0,1,-0.79,,0,0,,,0,0,,0,0,,,0,2,1.75,,,,3,0,2,Thiago,"FW,MF","FW,MF","FW,MF",,,"FW,MF","FW,MF","FW,MF","FW,MF","FW,MF","FW,MF",3,3,73,53,4,4,8,8,51,12,2585,2585,2585,,,2585,2585,2585,3182,2585,2585,3,1.55,,,2,1.03,0,0,0,0.0,0.0,,Brentford,1,,1,,,0,7,3,60.0,0,0,0,0,,5,0.0,7,3,3,2,40.0,568,159,83,,7,58.3,739443.0,2025-05-30,18000000.0,-0.1,0.1,0.2,0.06,0.1,3,4,1.4,3.5,True,0,True,0.0,0.1,0.1,0.1,-2.1,-1.1,0.1,0.1,2001
